Customer ID,Customer Name,Product,Product Category,Size,Color,Cost (in NPR),Quantity,Total Cost (in NPR),Purchase Date,Store Location,Purchase Method,Foot Traffic,Gender,Product Rating,Customer Type
CUST070,Customer_70,Dress,Formalwear,L,Blue,3331,5,16655,2024-08-12,Bhaktapur,Website,89,Female,4,Returning
CUST071,Customer_71,Jacket,Topwear,XL,Blue,1093,3,3279,2024-01-03,Jawalakhel,Website,102,Female,5,New
CUST072,Customer_72,Jacket,Bottomwear,L,White,4850,1,4850,2024-05-02,Lalitpur,Visited Store,436,Female,3,Returning
CUST073,Customer_73,Skirt,Bottomwear,L,Gray,2676,5,13380,2024-08-19,Thamel,Website,58,Male,3,Returning
CUST074,Customer_74,Jeans,Formalwear,XL,Green,4938,5,24690,2024-08-29,Lalitpur,Visited Store,175,Female,4,New
CUST075,Customer_75,Jeans,Formalwear,L,Black,1181,5,5905,2024-08-31,Bhaktapur,Website,71,Male,2,New
CUST076,Customer_76,Shorts,Topwear,XL,White,3029,3,9087,2024-08-18,Boudha,Website,449,Female,2,Returning
CUST077,Customer_77,Jacket,Casualwear,L,Black,1531,5,7655,2024-07-01,Thamel,Visited Store,363,Female,5,Returning
CUST078,Customer_78,Coat,Bottomwear,XL,Yellow,3813,3,11439,2024-02-20,Lalitpur,Visited Store,172,Female,1,New
CUST079,Customer_79,T-shirt,Outerwear,L,Gray,3174,3,9522,2024-01-15,Patan,Visited Store,471,Male,5,Returning
CUST080,Customer_80,Shirt,Topwear,M,Blue,3860,3,11580,2023-11-12,Bhaktapur,Visited Store,170,Female,4,New
CUST081,Customer_81,Jeans,Outerwear,M,Blue,3716,5,18580,2024-01-20,Kathmandu,Visited Store,164,Male,4,Returning
CUST082,Customer_82,T-shirt,Topwear,M,Red,1852,4,7408,2024-09-09,Jawalakhel,Website,76,Female,4,New
CUST083,Customer_83,Dress,Topwear,L,Red,581,3,1743,2024-07-27,Lalitpur,Website,467,Male,4,New
CUST084,Customer_84,Skirt,Formalwear,XL,Yellow,837,4,3348,2024-10-18,Patan,Website,62,Female,4,New
CUST085,Customer_85,Coat,Casualwear,S,Yellow,950,5,4750,2024-08-12,Thamel,Website,411,Male,3,Returning
CUST086,Customer_86,Shorts,Bottomwear,S,Green,769,1,769,2024-10-10,Thamel,Visited Store,240,Male,2,Returning
CUST087,Customer_87,Shirt,Topwear,M,Yellow,2055,1,2055,2024-06-20,Lalitpur,Visited Store,50,Female,4,New
CUST088,Customer_88,Jacket,Formalwear,S,Pink,3973,2,7946,2024-03-03,Thamel,Visited Store,110,Male,1,Returning
CUST089,Customer_89,Jeans,Casualwear,S,Yellow,4256,2,8512,2024-03-26,Kathmandu,Website,473,Female,1,New
CUST090,Customer_90,Blazer,Outerwear,L,Gray,3164,1,3164,2024-04-13,Boudha,Website,433,Female,1,New
CUST091,Customer_91,Shorts,Casualwear,L,Green,1158,2,2316,2024-05-26,Lalitpur,Website,399,Female,1,Returning
CUST092,Customer_92,Blazer,Bottomwear,S,Yellow,629,5,3145,2024-08-24,Boudha,Visited Store,156,Female,3,Returning
CUST093,Customer_93,Jacket,Outerwear,L,Blue,2551,3,7653,2024-05-02,Patan,Website,437,Female,1,New
CUST094,Customer_94,T-shirt,Formalwear,XL,White,1768,2,3536,2024-10-01,Patan,Website,255,Female,4,Returning
CUST095,Customer_95,Jacket,Bottomwear,M,White,1467,1,1467,2024-03-25,Kathmandu,Website,377,Female,5,Returning
CUST096,Customer_96,Shirt,Bottomwear,L,Pink,4132,1,4132,2024-10-10,Lalitpur,Website,141,Female,1,New
CUST097,Customer_97,Shorts,Bottomwear,XL,Green,4398,2,8796,2024-10-05,Patan,Website,113,Female,3,New
CUST098,Customer_98,Jeans,Outerwear,M,Black,2867,1,2867,2023-11-29,Lalitpur,Website,344,Female,3,Returning
CUST099,Customer_99,Coat,Topwear,L,Gray,4321,3,12963,2024-05-30,Jawalakhel,Visited Store,363,Female,1,New
CUST100,Customer_100,T-shirt,Topwear,M,Red,1287,5,6435,2024-01-13,Bhaktapur,Visited Store,150,Male,5,New
